Hora,O3,NO2,CO,Humedad,Temperatura,P25,P10
5/3/18-5:54:12,847,162,363,27.90,22.20,0.40,3.10
5/3/18-5:55:13,848,165,354,28.30,22.20,0.40,2.30
5/3/18-5:56:14,847,174,356,28.50,22.10,0.60,3.80
5/3/18-5:57:15,848,166,357,28.50,22.10,0.50,4.90
5/3/18-5:58:16,847,197,375,28.50,22.10,0.50,3.10
5/3/18-5:59:17,847,174,344,28.50,22.10,0.40,1.80
5/3/18-6:0:18,846,172,363,27.50,22.10,0.60,3.90
5/3/18-6:1:19,846,179,374,27.90,22.10,0.30,2.40
5/3/18-6:2:20,846,181,349,28.20,22.20,0.30,2.60
5/3/18-6:3:21,847,162,361,27.50,22.10,0.50,1.30
5/3/18-6:4:22,847,165,349,26.60,22.10,0.50,2.80
5/3/18-6:5:23,846,165,352,27.40,22.10,0.60,3.50
5/3/18-6:6:24,847,161,351,27.00,22.10,0.40,1.20
5/3/18-6:7:25,846,167,336,27.20,22.10,0.30,2.50
5/3/18-6:8:26,846,180,362,27.30,22.10,0.80,3.90
5/3/18-6:9:27,847,191,366,27.80,22.10,0.50,2.80
5/3/18-6:10:28,847,191,360,27.30,22.10,0.40,0.90
5/3/18-6:11:29,847,189,354,27.00,22.10,0.40,3.10
5/3/18-6:12:30,847,187,354,27.20,22.20,0.40,2.10
5/3/18-6:13:31,846,186,351,27.50,22.10,0.40,1.10
5/3/18-6:14:32,847,195,360,27.80,22.10,0.50,1.70
5/3/18-6:15:33,846,195,364,28.10,22.20,0.50,3.10
5/3/18-6:16:34,846,198,364,27.80,22.20,0.40,3.40
5/3/18-6:17:35,846,198,354,27.30,22.20,0.50,2.10
5/3/18-6:18:36,846,193,350,27.10,22.20,0.70,1.80
5/3/18-6:19:37,845,198,376,26.80,22.20,0.50,2.80
5/3/18-6:20:38,847,181,351,27.10,22.20,0.60,3.20
5/3/18-6:21:39,847,184,354,27.00,22.20,0.60,5.60
5/3/18-6:22:40,847,185,357,27.30,22.20,0.80,2.70
5/3/18-6:23:40,847,193,360,27.80,22.20,0.50,2.50
5/3/18-6:24:41,846,197,355,28.10,22.20,0.70,3.50
5/3/18-6:25:42,847,196,362,27.60,22.20,0.50,4.50
5/3/18-6:26:43,846,203,375,28.00,22.20,0.50,2.20
5/3/18-6:27:44,847,193,369,28.30,22.20,0.70,2.20
5/3/18-6:28:45,847,196,359,27.70,22.20,0.80,6.30
5/3/18-6:29:46,847,207,367,27.80,22.20,0.50,3.40
5/3/18-6:30:47,846,210,367,27.80,22.20,0.40,0.90
5/3/18-6:31:48,846,212,367,28.30,22.20,0.70,4.80
5/3/18-6:32:49,844,206,362,28.10,22.20,0.40,3.60
5/3/18-6:33:50,847,186,361,27.80,22.20,0.30,2.20
5/3/18-6:34:51,846,175,349,27.10,22.20,0.40,3.10
5/3/18-6:35:52,845,146,336,26.30,22.10,0.30,2.00
5/3/18-6:36:53,845,147,354,25.70,22.10,0.30,2.80
5/3/18-6:37:54,845,145,343,25.30,22.00,1.20,4.10
5/3/18-6:38:55,845,153,363,25.20,21.90,0.50,2.30
5/3/18-6:39:56,847,144,366,25.20,21.80,0.40,2.00
5/3/18-6:40:57,845,186,384,25.30,21.80,0.20,0.60
5/3/18-6:41:58,846,166,341,25.50,21.90,0.30,3.80
5/3/18-6:42:59,845,159,345,25.20,21.80,0.30,1.20
5/3/18-6:44:0,844,159,347,25.60,21.70,0.40,3.70
5/3/18-6:45:1,846,161,355,26.10,21.70,0.60,6.20
5/3/18-6:46:2,846,163,352,26.10,21.80,0.70,5.10
5/3/18-6:47:3,845,194,399,26.30,21.80,0.40,3.00
5/3/18-6:48:4,847,197,368,26.70,21.80,0.60,2.60
5/3/18-6:49:5,846,186,369,25.40,21.80,0.40,0.90
5/3/18-6:50:6,846,182,346,25.50,21.80,0.30,3.90
5/3/18-6:51:7,846,194,367,26.10,21.80,0.30,2.00
5/3/18-6:52:8,845,190,355,27.10,21.80,0.30,1.90
5/3/18-6:53:9,845,187,368,26.90,21.80,0.20,1.10
